utterance,emotion_id,acts_id,emotion,acts
Not yet .,0,1,other,inform
I hear you bought a new house in the northern suburbs .,0,1,other,inform
"That ’ s right , we bought it the same day we came on the market .",0,1,other,inform
What kind of house is it ?,0,2,other,question
It ’ s a wonderful Spanish style .,4,1,happiness,inform
"Oh , I love the roof tiles on Spanish style houses .",4,1,happiness,inform
And it ’ s a bargaining . A house like this in river side costs double the price .,4,1,happiness,inform
"Great , is it a two bedroom house ?",4,2,happiness,question
"No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage .",0,1,other,inform
That ’ s a nice area too . It ’ ll be a good investment for you .,4,1,happiness,inform
"Yeas , when will you buy a house ?",0,2,other,question
"Not untill the end of this year , you know , just before my wedding .",0,1,other,inform
"Right , congratulations .",4,1,happiness,inform
Thank you .,4,1,happiness,inform
"Hi , Becky , what's up ?",0,2,other,question
"Not much , except that my mother-in-law is driving me up the wall .",0,1,other,inform
What's the problem ?,0,2,other,question
She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around .,0,1,other,inform
For example ?,0,2,other,question
"Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her .",0,1,other,inform
"No , I can't see that happening . I know you're a good cook and nothing like that would ever happen .",0,1,other,inform
It's not just that . She also criticizes how we raise the kids .,0,1,other,inform
"My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun .",0,1,other,inform
You said she used to ? How did you stop her ?,0,2,other,question
"We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful .",0,1,other,inform
That sounds like a good idea . I'll have to try that .,4,1,happiness,inform
How are Zina's new programmers working out ?,0,2,other,question
"I hate to admit it , but they're good . And fast . The Filipino kid is a genius .",0,1,other,inform
"So you'll make the Stars.com deadline , and have us up and running next week ?",0,2,other,question
"It'll be close , but we'll make it .",0,1,other,inform
"Good . After Stars.com starts paying us , we won't need Vikam's cash anymore .",0,1,other,inform
"And if we don't need them , we won't need Zina , either .",0,1,other,inform
Do you like cooking ?,0,2,other,question
Yes . I like cooking very much . I got this hobby when I was 12 years sold .,4,1,happiness,inform
Why do you like it ?,0,2,other,question
I have no idea . I like cooking by myself . I like to taste delicious food .,0,1,other,inform
That's wonderful !,4,1,happiness,inform
"And I love trying new recipes , which I usually test with my friends . You can come , too .",0,3,other,Directive
Really ? I hope I can have a chance to taste it . Don't forget to tell me .,6,4,surprise,commisive
Certainly .,0,1,other,inform
Anyone home ? Jen !,0,2,other,question
I'm in the kitchen ... let yourself in !,0,1,other,inform
Wow ! You're really working up a storm !,0,1,other,inform
I know . I've even worked up a sweat .,0,1,other,inform
You look like a cooking show host--only messier .,0,1,other,inform
You look so tan and healthy !,4,1,happiness,inform
Thanks . I just got back from summer camp .,4,1,happiness,inform
How was it ?,0,2,other,question
Great . I got to try so many things for the first time .,4,1,happiness,inform
Like what ?,0,2,other,question
"I went sailing , fishing , and horseback riding .",0,1,other,inform
I ’ m so jealous .,0,1,other,inform
The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes !,4,1,happiness,inform
"Diana , do you like the perfume I gave you ?",0,2,other,question
"It ’ s good . But to tell you the truth , I don ’ t wear perfume .",0,1,other,inform
I ’ m sorry . I didn ’ t know that .,0,1,other,inform
That ’ s all right . Thank you all the same .,4,1,happiness,inform
"Ah , ah , ah ...",0,1,other,inform
"All right , Bill.Here ' s your daily exercise schedule . You are to jog before breakfast .",0,3,other,Directive
Jog ?,0,4,other,commisive
"Then , you are to walk to work .",0,3,other,Directive
Walk ?,0,4,other,commisive
Thirty minutes in gym at lunch time .,0,3,other,Directive
Oh no .,0,4,other,commisive
"Use the stairs , never the elevator .",0,3,other,Directive
"Oh , dear .",0,4,other,commisive
"And three times a week , you can either swim , play racketball , or hand ball .",0,3,other,Directive
Oh no .,0,4,other,commisive
"OK , you can stop now.It ' s time for the dance class .",0,3,other,Directive
Dance class ! I don't know how .,0,4,other,commisive
You will .,0,3,other,Directive
Oh ...,0,4,other,commisive
"Hi Bill , I saw your grandma yesterday .",0,1,other,inform
Oh where was that ?,0,2,other,question
I was running around the track at my college and there she was walking around the same track .,0,1,other,inform
Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods .,0,1,other,inform
"Well , it pays off for her.How old is she anyway ?",0,2,other,question
She will be 86 next month .,0,1,other,inform
That is truly amazing !,6,1,surprise,inform
I would like to register for a class today .,0,3,other,Directive
"No problem , what class would you like to take ?",0,2,other,question
I would very much enjoy taking a Psychology class.Because I'm crazy .,0,3,other,Directive
There are two classes that are still open .,0,1,other,inform
Which days are these classes on ?,0,2,other,question
The first class is a Tuesday and Thursday class from two to three .,0,1,other,inform
What about the other class ?,0,2,other,question
The other class is on Monday and Wednesday from 10 am - 12 .,0,1,other,inform
Are you sure there are no more open classes ?,0,2,other,question
I'm positive .,0,1,other,inform
Sign me up for Monday and Wednesday .,0,3,other,Directive
"Okay , I'll sign you up .",0,4,other,commisive
"Dad , why are you taping the windows ?",0,2,other,question
"Honey , a typhoon is coming .",0,1,other,inform
"Really ? Wow , I don't have to go to school tomorrow .",6,1,surprise,inform
"Jenny , come and help , we need to prepare more food .",0,3,other,Directive
OK . Dad ! I'm coming .,0,4,other,commisive
"Hi , my name is Lean , and I'm from Russia .",0,1,other,inform
"Nice to meet you , Lean . My name is Alike . I'm from Japan .",0,1,other,inform
To me English is a difficult language .,0,1,other,inform
A second language is always difficult .,0,1,other,inform
"True , but English is harder than most . It's a crazy language .",0,1,other,inform
A crazy language ? Why do you say that ?,6,2,surprise,question
One letter can have several pronunciations and one word can have several meanings .,0,1,other,inform
No wonder you say English is a crazy language .,0,1,other,inform
Can I help you ?,0,2,other,question
"I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look .",0,3,other,Directive
I'll certainly try to help you . What topic is your paper on ?,0,2,other,question
My paper is on the influence of television on children .,0,1,other,inform
There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .,0,3,other,Directive
Thank you for you help .,4,4,happiness,commisive
Here ’ s your hot dog and beer . What happened ? Did I miss anything ?,0,2,other,question
"Yeah , Cal Ripen just hit a home run .",0,1,other,inform
What ’ s the score ?,0,2,other,question
"Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base .",0,1,other,inform
So Baltimore is winning ?,0,2,other,question
Right .,4,1,happiness,inform
This is a really great place to watch a baseball game .,4,1,happiness,inform
"Yeah , there isn ’ t a bad seat in the place .",4,1,happiness,inform
"The fans are great here , too . Not like in Philadelphia .",4,1,happiness,inform
It was a great idea to spend a day watching a game .,4,1,happiness,inform
"Yeah , it reminds you why they say baseball is America ’ s favorite pastime .",4,1,happiness,inform
How do you like the pizza here ?,4,2,happiness,question
Perfect . It really hits the spot .,4,1,happiness,inform
Do you have a light ?,0,2,other,question
"Sorry , I don't smoke .",0,1,other,inform
I was scared stiff of giving my first performance .,3,1,fear,inform
Were you ? your performance was excellent .,4,1,happiness,inform
Thank you for your kindly words .,4,1,happiness,inform
Excuse me . Could you please take a picture of us with this camera ?,0,3,other,Directive
Sure . Which button do I press to shoot ?,4,2,happiness,question
This one .,0,1,other,inform
Do I have to focus it ?,0,2,other,question
"No , this is a focus-free camera . All you have to do is point and press the button .",0,1,other,inform
All right . Say cheese !,4,4,happiness,commisive
Every country should face the history .,0,1,other,inform
"Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history .",0,1,other,inform
"Sometimes , we , human beings , really had done something wrong , so we should admit it at first .",0,1,other,inform
But there is always somebody who wants to turn his back on the true history .,0,1,other,inform
"I believe such things won ’ t be realized , just daydreaming .",0,1,other,inform
"Do you like traveling , Kathy ?",0,2,other,question
"I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ...",0,1,other,inform
Or getting stuck in traffic jams when you ’ re driving .,0,1,other,inform
Exactly .,0,1,other,inform
Your house is too small . Why not buy a big one .,0,2,other,question
I do wish I could afford one .,0,1,other,inform
You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases .,0,3,other,Directive
Of course I know that . But don't you notice that the house price is skyrocketing ?,0,4,other,commisive
"How do you do , Prof.Smith .",0,1,other,inform
"How do you do , Ms . Yang.You speak very good English .",4,1,happiness,inform
Thank you . I begin to like English even when I was a child .,4,1,happiness,inform
Where did you learn it ?,0,2,other,question
"At school , in China.This is my first time to be out of my own country .",0,1,other,inform
It's amazing .,6,1,surprise,inform
Do you want black or white coffee ?,0,2,other,question
"White , please",0,1,other,inform
Look ! there's a Folk concert tomorrow evening . Do you Want to go ?,0,3,other,Directive
I don't like Folk music very much .,0,4,other,commisive
What kind of music do you like ?,0,2,other,question
I like classical music . Do you ?,0,2,other,question
Not very much . Classical music sends me to sleep,0,1,other,inform
I don't believe you .,0,1,other,inform
It ’ s true .,0,1,other,inform
You are funny !,0,1,other,inform
So are you ! How about another coffee ?,0,3,other,Directive
What do you like to do in your spare time ?,0,2,other,question
I like playing chess .,0,1,other,inform
Do you have any hobbies besides playing chess ?,0,2,other,question
I'm afraid not .,0,1,other,inform
Do you have any hobbies like playing tennis or things like that ?,0,2,other,question
"Oh , yes . I like playing basketball .",0,1,other,inform
Can you tell me why you like it ?,0,2,other,question
Because I like the feeling of cooperating with others .,0,1,other,inform
Where is John ? I can't find him anywhere .,0,2,other,question
Haven't you heard that he is in prison ?,0,2,other,question
What ? Beg your pardon .,6,2,surprise,question
John is in prison now . He was copped outstealing .,0,1,other,inform
I just cann't believe my ears !,6,1,surprise,inform
Can I help you ?,0,2,other,question
"I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look .",0,3,other,Directive
I'll certainly try to help you.What topic is your paper on ?,0,2,other,question
My paper is on the influence of television on children .,0,1,other,inform
There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .,0,3,other,Directive
Thank you for you help .,4,4,happiness,commisive
"Hey , Ted . What are you up to this Friday ?",0,2,other,question
"Well , I have the day off from work .",0,1,other,inform
That ’ s great ! Do you have any plans ?,4,2,happiness,question
"Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy .",0,1,other,inform
Sounds nice .,4,1,happiness,inform
"Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies .",0,1,other,inform
Can I stop by ?,0,3,other,Directive
Sure . Any time .,0,4,other,commisive
You honestly believe the world ’ s improving every year ?,0,2,other,question
"Yes , I do . I think that science is making us wiser . What do you think ?",0,2,other,question
I don ’ t think you ’ re right there .,0,1,other,inform
I believe industry is making us wealthier .,0,1,other,inform
I don ’ t believe that .,0,1,other,inform
"And in my opinion , medicine is making us healthier .",0,1,other,inform
"I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ?",0,2,other,question
"I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago .",0,1,other,inform
That ’ s your opinion not mine .,0,1,other,inform
What do you plan to do for your birthday ?,0,2,other,question
"I want to have a picnic with my friends , Mum .",0,1,other,inform
How about a party at home ? That way we can get together and celebrate it .,4,3,happiness,Directive
"OK , Mum . I'll invite my friends home .",4,4,happiness,commisive
How may I help you ?,0,2,other,question
I would like to return this book .,0,3,other,Directive
Is that all you need ?,0,2,other,question
I also want to check out this video .,0,3,other,Directive
Is that all you would like to check out ?,0,2,other,question
That ’ s all I need .,0,1,other,inform
Do you have your library card ?,0,3,other,Directive
Here it is .,0,4,other,commisive
Make sure to take proper care of this video .,0,3,other,Directive
That won ’ t be a problem .,0,4,other,commisive
"If you damage the video , you will be fined .",0,3,other,Directive
I won ’ t damage it .,0,4,other,commisive
What's the matter with you then ? You look miserable .,0,2,other,question
It's us .,0,1,other,inform
What do you mean by us .,0,2,other,question
"Well , you always say you're busy .",0,1,other,inform
That's right .,0,1,other,inform
And you often go back to live with your parents and leave our son in the room by himself .,0,1,other,inform
"I ... I ... I miss my parents , also they miss me .",0,1,other,inform
"Oh I remember , I cut terrible calls , and you didn't say anything about it .",0,1,other,inform
You mean I am groaned a few words ?,0,2,other,question
Totally not . Perhaps it's about our marriage .,0,1,other,inform
"Hi , Mary . You look pale today . What's the matter with you ?",0,2,other,question
I think I've caught a cold . Now I'm aching all over .,0,1,other,inform
You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon .,0,1,other,inform
Thank you . I suppose I should go to see a doctor .,0,1,other,inform
"I feel like going for a drink , it's been a long day .",4,3,happiness,Directive
"Great idea ! Peter , I could use the drink .",4,4,happiness,commisive
How about the new bar across road ?,4,3,happiness,Directive
"Sounds good . The food there is fantastic , too .",4,4,happiness,commisive
"I agree , I had lunch there last week .",4,1,happiness,inform
excellent ! That sounds like a plan .,4,1,happiness,inform
"Could you tell me the right time , please ?",0,3,other,Directive
Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days .,0,1,other,inform
You have to go and fix it .,0,3,other,Directive
Yes . I will .,0,4,other,commisive
does your family have a record of your ancestors ?,0,2,other,question
sure . My mom has been working on our family tree for years . She ’ s always updating it .,0,1,other,inform
do you have a copy of your family tree in your house ? I ’ d love to see it .,0,3,other,Directive
"I can show it to you now , if you like . I think it goes back about 8 generations so far .",0,4,other,commisive
that ’ s amazing . Do you have a large extended family ?,0,2,other,question
I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side .,0,1,other,inform
are you very close to your first-cousins ?,0,2,other,question
"the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones .",0,1,other,inform
I see . who ’ s the head of your household ?,0,2,other,question
"it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family .",0,1,other,inform
that ’ s interesting . What does your grandfather think of your step-mother ?,0,2,other,question
"at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother .",0,1,other,inform
"that ’ s pretty much how you feel about your step-mother . Like grandmother , like grandson .",0,1,other,inform
"Hi , Mr . Wang . Do you feel like going boating with me ?",4,3,happiness,Directive
"Sounds interesting , I haven't gone boating for some time now , and what time ?",4,2,happiness,question
How about tomorrow afternoon ?,4,3,happiness,Directive
Sure . Where shall I meet you ?,4,2,happiness,question
At the gate of the park .,4,1,happiness,inform
Great . I look forward to meeting you .,4,4,happiness,commisive
See you then .,4,1,happiness,inform
See you .,4,1,happiness,inform
I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ?,0,2,other,question
"Yes , it's so exciting , though I had the most falls in our skiing team .",4,1,happiness,inform
Isn't there any coach to teach you how to ski ?,0,2,other,question
Of course there is . The top-level coaches there are from the State Sports General Administration .,0,1,other,inform
Could you move smoothly ?,0,2,other,question
Yes.My face even ached in the icy wind .,0,1,other,inform
What happened afterwards ?,0,2,other,question
I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was .,0,1,other,inform
Poor girl !,0,1,other,inform
You look pale recently .,4,1,happiness,inform
Yeah . I have got much pressure in the company . I have tobe wrapped upon my work .,4,1,happiness,inform
Take good care of yourself .,4,3,happiness,Directive
Thank you . I will .,4,4,happiness,commisive
"Hey , Maggy , Did you hear about David ?",0,2,other,question
"About David ? No , I didn ’ t hear anything .",0,2,other,question
"You know , about David and his new boss .",0,1,other,inform
"Sorry , I don ’ t quite follow you .",0,1,other,inform
"Well , I heard David has been fired .",0,1,other,inform
"Oh , that is a shame . He is really hard working .",0,1,other,inform
how do you usually get to school ?,0,2,other,question
I usually ride my bike . Which form of transport do you prefer to use ?,0,2,other,question
"I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car .",0,1,other,inform
I think we should discourage people from using their private cars . They produce too much pollution !,0,1,other,inform
"I agree , but I would find it difficult to stop using my car . It's just so convenient .",0,1,other,inform
"cars might be convenient , but they're so bad for the environment .",0,1,other,inform
do you have a car ?,0,2,other,question
"no . I used to have one though . Once I started using my bicycle to get around , I found that I didn't really need it .",0,1,other,inform
"maybe if I sold my car now , I wouldn't be so tempted to use it .",0,1,other,inform
you could try . It would save you a lot of money .,0,1,other,inform
"that's true . Every month , I spend hundreds of dollars on gas , insurance , and repairs .",0,1,other,inform
"if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too !",0,1,other,inform
I could stand to lose a few pounds . Having a car has made me lazy . I never end up walking anywhere !,0,1,other,inform
let's go to a car dealership . I'll help you try to sell your car for a good price .,0,3,other,Directive
sounds good ! Let's go !,0,4,other,commisive
What's wrong with him ?,0,2,other,question
His nose is out of joint because we forgot to invite him to the party .,0,1,other,inform
"What are you going to do for one year abroad , Tom ?",0,2,other,question
"Study , study , study . I want to learn a lot .",0,1,other,inform
You are going to take courses ?,0,2,other,question
Yes . I am going to take some university courses there .,0,1,other,inform
Sounds hard .,0,1,other,inform
"Yes , but I think it's probably for the best .",0,1,other,inform
Won ’ t you get lonely ?,0,2,other,question
"Hey , I am a pretty cool guy . I will make friends , and I'll have a lot of extracurricular activities too . You know , like fencing , or theater or something .",0,1,other,inform
"Isn't this lovely weather ? Will you help me water the flowers , Jack ?",4,3,happiness,Directive
"Well , do you think I have to ?",0,2,other,question
I do.We haven't watered them for quite a few days .,0,1,other,inform
Please look at the sky.Don ' t you see the dark clouds ? It's going to rain soon .,0,1,other,inform
Good.So we don't have to work.How nice !,4,1,happiness,inform
But I don't think it's so nice .,0,1,other,inform
Why ?,0,2,other,question
The weather report says it's going to rain for a whole week .,0,1,other,inform
"Oh , I'm afraid all the flowers will die in the rain .",0,1,other,inform
"On , darn . The grocery store is closed .",0,1,other,inform
"Yeah , this one closes at ten . We could drive to the 24 - hour store on sixth .",0,3,other,Directive
Alright . We are out of everything .,0,4,other,commisive
I wish the store close to us was open 24 - house a day .,0,1,other,inform
"I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home .",0,1,other,inform
"Yeah , and the prices there are very high .",0,1,other,inform
I know . Three dollars for milk .,0,1,other,inform
Do you think they two will get married ?,0,2,other,question
You can count on it .,0,1,other,inform
"I think so.Yes , they get along so well .",0,1,other,inform
I like him.He ' s good for her .,4,1,happiness,inform
You're right . He sure is .,4,1,happiness,inform
"Dad , where are we off to ?",0,2,other,question
First we will go to the city centre and stop for something to drink . Then we will visit the University Museum .,0,1,other,inform
Where are we going to have a drink ?,0,2,other,question
There is a coffee shop round the corner . Can you see that big building at the end of the road ?,0,2,other,question
Yes ?,0,2,other,question
That is a bank . The coffee shop is opposite the bank .,0,1,other,inform
Good . I will have hot chocolate .,0,1,other,inform
A stop ! Wait for the lights to turn green .,0,1,other,inform
When crossing the road you must always pay attention to what's around you .,0,1,other,inform
Sorry . How far is the museum ?,0,2,other,question
I am not sure . We will ask for directions in the coffee shop .,0,1,other,inform
Here we are . You find us a table and I'll get the drinks .,0,1,other,inform
How about going to the cinema tonight ?,4,3,happiness,Directive
That's great . What's on tonight ?,4,4,happiness,commisive
"I am not sure about the name of the film , but I know it's a romantic one .",0,1,other,inform
Romantic ? I am afraid I like thrillers better .,0,1,other,inform
Don't you think it's too bloody ?,0,2,other,question
"On the contrary , very exciting .",0,1,other,inform
I feel so uncomfortable .,0,1,other,inform
Are you sick ?,0,2,other,question
No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge .,0,1,other,inform
He ’ ll finish writing in a minute .,0,1,other,inform
I have made up my mind . I am getting a tattoo .,0,1,other,inform
Really ? Are you sure ?,6,2,surprise,question
Yeah ! Why not ? They are trendy and look great ! I want to get a dragon on my arm or maybe a tiger on my back .,0,1,other,inform
"Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot !",0,1,other,inform
Really ?,6,2,surprise,question
Of course ! They use this machine with a needle that pokes your skin and inserts the ink .,0,1,other,inform
"Oh , I didn ’ t know that ! I thought they just paint it on your skin or something .",0,1,other,inform
"I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic .",0,1,other,inform
Maybe I should just get a tongue piercing !,0,1,other,inform
"Excuse me , what's the screen near your steering wheel for ?",0,2,other,question
It's a portable TV . It's a popular thing now .,0,1,other,inform
"Oh , that's new to me . So what's on everyday ?",0,2,other,question
"News about current affairs , documentaries , music , movies , noncommercial ads and so on .",0,1,other,inform
Is there anything interesting ?,0,2,other,question
"Yes , there are something good and informative . I think that many people underestimate the value of TV in education .",0,1,other,inform
I agree . Are there any commercials on the TV ?,0,2,other,question
Of course . Because the TV stations need to make money from commercials between the programs .,0,1,other,inform
That makes a lot of sense . Does the TV work well ?,0,2,other,question
Not always . It depends on the transmission of the satellite signals .,0,1,other,inform
I got it . Do you pay for the programs ?,0,2,other,question
"Yes , 50 Yuan per month .",0,1,other,inform
"Oh , no !",2,1,disgust,inform
How dreadful !,2,1,disgust,inform
Look at the view from the window .,0,3,other,Directive
"Oh , dear . That ’ s terrible . Not at all what I expected .",2,4,disgust,commisive
"It ’ s awful , isn ’ t it ?",2,1,disgust,inform
I can ’ t bear to look at it . I ’ m rather disappointed .,2,1,disgust,inform
It can ’ t be helped .,0,1,other,inform
"What do you do in your free time , Nancy ?",0,2,other,question
"Well , I like playing the violin .",0,1,other,inform
Really ? How long have you been playing the violin ?,0,2,other,question
About ten years so far . I started learning when I was in middle school .,0,1,other,inform
That's really interesting .,4,1,happiness,inform
Sure . So what about you ? Do you have any hobbies ?,4,2,happiness,question
"Well , I like collecting matchbox ! I'm not sure if that counts , though .",4,1,happiness,inform
Of course it does . Everybody has his own hobby .,4,1,happiness,inform
How can I tell her about this ?,0,2,other,question
"Don't worry , you'll find a way .",0,3,other,Directive
There is no need to be so frustrated .,0,4,other,commisive
How can you live without job in the future ?,0,2,other,question
"Don't worry , you'll find a way .",0,3,other,Directive
What sports do you like to play ?,0,2,other,question
I like baseball and basketball .,0,1,other,inform
How about football ?,0,2,other,question
"In my country football is brand new , so I never learned the game when I was younger .",0,1,other,inform
It's a very popular game in America .,0,1,other,inform
Yeah . I heard a lot about it . Is it really that fun ?,0,2,other,question
"For me , it's one of those games that are fun to both watch and play .",0,1,other,inform
Are you a football player ?,0,2,other,question
"No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football .",0,1,other,inform
What is two hand touch and flag football ?,0,2,other,question
"Instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing .",0,1,other,inform
I see . It's safer then right ?,0,2,other,question
"Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us .",4,3,happiness,Directive
I'll give it a try . Give me a call and let's go down together .,4,4,happiness,commisive
Ok . I'll call you Saturday morning .,4,1,happiness,inform
Great .,4,1,happiness,inform
What upsets you ?,0,2,other,question
"My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date .",5,1,sadness,inform
It is not your mother finding one for you ?,0,2,other,question
"I will find one myself , of course . I ’ m a modern girl .",0,1,other,inform
"Perhaps you can try the three minutes date , the latest type .",0,3,other,Directive
"You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea .",2,4,disgust,commisive
"No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes .",0,1,other,inform
I don ’ t think it makes sense . Three minutes is such a short time .,0,1,other,inform
"I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight .",0,1,other,inform
"Anyway , I don ’ t want to post my face up for sale on the internet like that .",2,1,disgust,inform
"Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher .",0,1,other,inform
I don ’ t want to post my personal information on the internet . I ’ m not knowing who is reading it .,2,1,disgust,inform
Are you going to the party on Saturday ?,0,2,other,question
I was thinking about it . Are you ?,0,2,other,question
"Yeah , I heard it's going to be a lot of fun .",4,1,happiness,inform
"Really ? Well , what time does it start ?",6,2,surprise,question
It starts at 8,0,1,other,inform
"Well , who all is going to be there ?",0,2,other,question
Everyone from school .,0,1,other,inform
How do you know it's going to be so fun ?,0,2,other,question
"This party is going to have a DJ , food , and drinks .",4,1,happiness,inform
